HIA_Probability,HOB50_Probability,Fsp3,nRing,nHD,MW,logP,TPSA
0.992,0.796,0.621,5,2,496.25,2.71845163377748,110.13
1.0,0.867,0.5,4,2,346.05,1.18741438284637,100.9
1.0,0.852,0.55,4,3,348.06,1.20338963966256,104.06
1.0,0.753,0.45,4,3,346.05,1.40864836092743,104.06
0.959,0.723,0.8,5,3,478.22,1.76784006948155,139.59
0.629,0.616,0.885,6,7,542.24,-0.636129038298513,195.6
0.486,0.576,0.885,6,8,558.23,-0.202280586356344,215.83
0.641,0.625,0.885,6,7,542.24,-0.979431159312496,195.6
0.993,0.672,0.85,4,2,364.19,1.16762857849274,100.9
0.998,0.841,0.55,5,4,364.06,0.704374386654414,116.45
0.999,0.811,0.5,5,3,362.04,0.703898464449716,113.29
0.999,0.82,0.55,4,3,348.06,1.15159451456902,104.06
1.0,0.82,0.48,5,4,472.04,0.810010424618972,159.82
0.999,0.29,0.15,5,5,373.0,-0.334931057356201,136.68
0.999,0.807,0.55,5,3,379.05,1.46891640969969,133.19
0.999,0.905,0.478,5,3,430.03,0.714829590806773,139.59
1.0,0.732,0.393,5,4,507.04,1.30522163384972,159.82
0.964,0.779,0.632,5,3,377.12,0.837692832066974,122.52
0.999,0.835,0.5,5,3,419.04,0.721230820974785,139.59
0.998,0.87,0.545,5,4,421.06,0.739705434513887,142.75
0.881,0.711,0.818,5,4,438.19,0.410292721562966,142.75
0.922,0.803,0.8,5,4,394.16,0.475531665177206,133.52
0.945,0.756,0.8,5,4,394.16,0.915133594649574,133.52
0.821,0.763,0.85,5,5,396.18,0.260357551842644,136.68
