,MW,logP,nRot,nHA,nHD,TPSA,Fsp3,nRing,nHet,HIA_Probability,HOB50_Probability
MW,1.0,-0.29373379270802263,0.868853858020293,0.8927101188043304,0.5242143609307854,0.8666541809628289,0.3940554458240846,0.8117992188704451,0.8927101188043304,-0.5473927351225409,-0.4093580850695961
logP,-0.29373379270802263,0.9999999999999999,0.008867667784340599,-0.4754027747752473,-0.7616243448373551,-0.5385982358351337,-0.32860366829344667,-0.6148439853279821,-0.4754027747752473,0.5409741816192715,0.30484888739790256
nRot,0.868853858020293,0.008867667784340599,1.0,0.7581198865400226,0.2232386765492618,0.7111142677071186,0.09756668541763051,0.5605577754237723,0.7581198865400226,-0.1956179243239897,-0.2243074188561854
nHA,0.8927101188043304,-0.4754027747752473,0.7581198865400226,1.0,0.6789943820894726,0.985236602854639,0.23445011429199675,0.8480818959323456,1.0,-0.43469200928642937,-0.34334732280204294
nHD,0.5242143609307854,-0.7616243448373551,0.2232386765492618,0.6789943820894726,1.0,0.765316358240756,0.31761405957140754,0.7195822181374478,0.6789943820894726,-0.5203913823315096,-0.46994419882407273
TPSA,0.8666541809628289,-0.5385982358351337,0.7111142677071186,0.985236602854639,0.765316358240756,0.9999999999999999,0.2174012556648741,0.8355613260909055,0.9852366028546389,-0.4348972797316057,-0.3565990342448981
Fsp3,0.3940554458240846,-0.32860366829344667,0.09756668541763051,0.23445011429199675,0.31761405957140754,0.2174012556648741,1.0,0.4130975351398137,0.23445011429199678,-0.8858895589801151,-0.466133009485877
nRing,0.8117992188704451,-0.6148439853279821,0.5605577754237723,0.8480818959323456,0.7195822181374478,0.8355613260909055,0.4130975351398137,1.0,0.8480818959323456,-0.6602499707864022,-0.4142485547900956
nHet,0.8927101188043304,-0.4754027747752473,0.7581198865400226,1.0,0.6789943820894726,0.9852366028546389,0.23445011429199678,0.8480818959323456,1.0,-0.43469200928642937,-0.34334732280204294
HIA_Probability,-0.5473927351225409,0.5409741816192715,-0.1956179243239897,-0.43469200928642937,-0.5203913823315096,-0.4348972797316057,-0.8858895589801151,-0.6602499707864022,-0.43469200928642937,0.9999999999999999,0.5421924980508563
HOB50_Probability,-0.4093580850695961,0.30484888739790256,-0.2243074188561854,-0.34334732280204294,-0.46994419882407273,-0.3565990342448981,-0.466133009485877,-0.4142485547900956,-0.34334732280204294,0.5421924980508563,1.0
