,MW,logP,nRot,nHA,nHD,TPSA,Fsp3,nRing,nHet,HIA_Probability,HOB50_Probability
MW,0.0,0.16357946003374452,3.662552576896514e-08,4.514938209984907e-09,0.008550937952577154,4.3511736234391395e-08,0.05673716222369167,1.4704543289884797e-06,4.514938209984907e-09,0.005630980189691521,0.04698848421679003
logP,0.16357946003374452,1.0880221377787092e-173,0.967197003342023,0.018882374694620885,1.537028719497283e-05,0.00662076206072668,0.11693127479095575,0.001387913405334236,0.018882374694620885,0.006340041993504752,0.14748748895138505
nRot,3.662552576896514e-08,0.967197003342023,0.0,1.7727093977493317e-05,0.29437826924473165,9.809150690002537e-05,0.6501558045854527,0.004382731900987755,1.7727093977493317e-05,0.359633744225075,0.29201242071515376
nHA,4.514938209984907e-09,0.018882374694620885,1.7727093977493317e-05,0.0,0.00026419134468068915,2.337191153346303e-18,0.2701530279569499,1.667925132792875e-07,0.0,0.03377851949202937,0.10045862540986908
nHD,0.008550937952577154,1.537028719497283e-05,0.29437826924473165,0.00026419134468068915,0.0,1.3191051069576537e-05,0.13043326564372903,7.390313482190084e-05,0.00026419134468068915,0.009135995533271215,0.02049382183958753
TPSA,4.3511736234391395e-08,0.00662076206072668,9.809150690002537e-05,2.337191153346303e-18,1.3191051069576537e-05,1.0880221377787092e-173,0.30751052040353555,3.747944648732486e-07,2.3371911533464856e-18,0.03368508557219349,0.08717968038065797
Fsp3,0.05673716222369167,0.11693127479095575,0.6501558045854527,0.2701530279569499,0.13043326564372903,0.30751052040353555,0.0,0.04481835277635077,0.2701530279569498,8.606659606370462e-09,0.021683642876526365
nRing,1.4704543289884797e-06,0.001387913405334236,0.004382731900987755,1.667925132792875e-07,7.390313482190084e-05,3.747944648732486e-07,0.04481835277635077,0.0,1.667925132792875e-07,0.0004463770291535165,0.04416643831153228
nHet,4.514938209984907e-09,0.018882374694620885,1.7727093977493317e-05,0.0,0.00026419134468068915,2.3371911533464856e-18,0.2701530279569498,1.667925132792875e-07,0.0,0.03377851949202937,0.10045862540986908
HIA_Probability,0.005630980189691521,0.006340041993504752,0.359633744225075,0.03377851949202937,0.009135995533271215,0.03368508557219349,8.606659606370462e-09,0.0004463770291535165,0.03377851949202937,1.0880221377787092e-173,0.006200000426330775
HOB50_Probability,0.04698848421679003,0.14748748895138505,0.29201242071515376,0.10045862540986908,0.02049382183958753,0.08717968038065797,0.021683642876526365,0.04416643831153228,0.10045862540986908,0.006200000426330775,0.0
