,MW,LogP,TPSA,Fsp3,nHA,nHD,nRot,nRing,nHet,Fu_human,Vd_ss
MW,0.0,0.11573144136174877,6.164688505736518e-09,0.755514228046439,1.895488538358826e-09,0.0028847879863588685,2.345043038354458e-08,3.6224057527263636e-07,1.895488538358826e-09,0.054125298976082745,0.8457555098599522
LogP,0.11573144136174877,0.0,0.006777809446169131,0.5535377776838597,0.00933010062778287,4.5127824501787094e-06,0.7123596258748275,0.0001860682379000989,0.00933010062778287,0.45826386144089604,3.5632182867058444e-05
TPSA,6.164688505736608e-09,0.006777809446169131,1.0880221377787092e-173,0.9438301185020876,3.9409563925858185e-19,1.1971632612271725e-05,9.809150690002537e-05,3.747944648732486e-07,3.9409563925858185e-19,0.3502650849997232,0.4343173848740409
Fsp3,0.755514228046439,0.5535377776838597,0.9438301185020876,1.0880221377787092e-173,0.8059196322401218,0.1352243576322686,0.36878159382841746,0.8787473161661199,0.8059196322401218,0.15305146046602644,0.0006128162563655415
nHA,1.895488538358826e-09,0.00933010062778287,3.940956392586212e-19,0.8059196322401218,0.0,0.00014259893000920817,1.898312746276483e-05,1.8951303674895676e-07,0.0,0.3544179175679486,0.5477718748683783
nHD,0.0028847879863588685,4.5127824501787094e-06,1.1971632612271725e-05,0.1352243576322685,0.00014259893000920817,0.0,0.3377185648334555,1.3047502526957693e-05,0.00014259893000920817,0.5203210921865284,0.001881749070852067
nRot,2.345043038354458e-08,0.7123596258748275,9.809150690002537e-05,0.3687815938284176,1.898312746276483e-05,0.3377185648334555,0.0,0.004382731900987755,1.898312746276483e-05,0.032709809586618205,0.11069399870587167
nRing,3.6224057527263636e-07,0.0001860682379000989,3.747944648732486e-07,0.8787473161661199,1.8951303674895885e-07,1.3047502526957693e-05,0.004382731900987755,0.0,1.8951303674895885e-07,0.20140944152605103,0.07727803827747853
nHet,1.895488538358826e-09,0.00933010062778287,3.940956392586212e-19,0.8059196322401218,0.0,0.00014259893000920817,1.898312746276483e-05,1.8951303674895676e-07,0.0,0.3544179175679486,0.5477718748683783
Fu_human,0.054125298976082745,0.45826386144089604,0.3502650849997232,0.15305146046602652,0.3544179175679486,0.5203210921865284,0.032709809586618205,0.20140944152605103,0.3544179175679486,0.0,0.6529163249788075
Vd_ss,0.8457555098599522,3.5632182867058444e-05,0.4343173848740408,0.0006128162563655415,0.5477718748683783,0.001881749070852067,0.1106939987058717,0.07727803827747871,0.5477718748683783,0.6529163249788075,0.0
