Fu_human,Vd_ss,nRing,nHD,TPSA,logP,nHet,nHA
1.1,1.62,5,2,110.13,2.71845163377748,7,7
0.6,1.04,4,2,100.9,1.18741438284637,6,6
0.5,0.96,4,3,104.06,1.20338963966256,6,6
0.6,1.02,4,3,104.06,1.40864836092743,6,6
0.62,1.11,5,3,139.59,1.76784006948155,9,9
0.73,0.37,6,7,195.6,-0.636129038298513,12,12
0.68,0.37,6,8,215.83,-0.202280586356344,13,13
0.71,0.36,6,7,195.6,-0.979431159312496,12,12
0.59,0.9,4,2,100.9,1.16762857849274,6,6
0.62,0.9,5,4,116.45,0.704374386654414,7,7
0.63,0.95,5,3,113.29,0.703898464449716,7,7
0.49,0.97,4,3,104.06,1.15159451456902,6,6
0.67,0.99,5,4,159.82,0.810010424618972,10,10
0.69,0.74,5,5,136.68,-0.334931057356201,8,8
0.6,0.98,5,3,133.19,1.46891640969969,8,8
0.65,1.0,5,3,139.59,0.714829590806773,9,9
0.75,0.95,5,4,159.82,1.30522163384972,10,10
0.6,0.77,5,3,122.52,0.837692832066974,8,8
0.65,1.04,5,3,139.59,0.721230820974785,9,9
0.67,1.02,5,4,142.75,0.739705434513887,9,9
0.56,0.9,5,4,142.75,0.410292721562966,9,9
0.52,0.85,5,4,133.52,0.475531665177206,8,8
0.58,0.79,5,4,133.52,0.915133594649574,8,8
0.55,0.63,5,5,136.68,0.260357551842644,8,8
