,MW,logP,nRot,nHA,nHD,TPSA,Fsp3,nRing,nHet,Fu_human,Vd_ss
MW,1.0,-0.29373379270802263,0.868853858020293,0.8927101188043304,0.5242143609307854,0.8666541809628289,0.3940554458240846,0.8117992188704451,0.8927101188043304,0.6375748711015934,-0.20945953906501813
logP,-0.2937337927080226,0.9999999999999999,0.008867667784340599,-0.4754027747752473,-0.7616243448373551,-0.5385982358351337,-0.32860366829344667,-0.6148439853279821,-0.4754027747752473,-0.16699434844422592,0.7378059977153988
nRot,0.868853858020293,0.008867667784340597,1.0,0.7581198865400226,0.2232386765492618,0.7111142677071186,0.09756668541763051,0.5605577754237723,0.7581198865400226,0.7093206280383212,0.13628591803664705
nHA,0.8927101188043304,-0.4754027747752473,0.7581198865400226,1.0,0.6789943820894726,0.985236602854639,0.23445011429199675,0.8480818959323456,1.0,0.5897253887224502,-0.30861944210500886
nHD,0.5242143609307854,-0.7616243448373551,0.2232386765492618,0.6789943820894726,1.0,0.765316358240756,0.31761405957140754,0.7195822181374478,0.6789943820894726,0.28216006063499216,-0.7332240099679214
TPSA,0.866654180962829,-0.5385982358351337,0.7111142677071186,0.9852366028546389,0.765316358240756,0.9999999999999999,0.2174012556648741,0.8355613260909055,0.9852366028546389,0.5604636040410327,-0.34949789737291126
Fsp3,0.3940554458240846,-0.3286036682934467,0.09756668541763051,0.23445011429199678,0.3176140595714075,0.2174012556648741,1.0,0.4130975351398137,0.23445011429199678,-0.1730941928793814,-0.5436667512467842
nRing,0.8117992188704451,-0.6148439853279821,0.5605577754237723,0.8480818959323456,0.7195822181374477,0.8355613260909055,0.4130975351398136,1.0,0.8480818959323456,0.6118782069389956,-0.5050720969245488
nHet,0.8927101188043304,-0.4754027747752473,0.7581198865400226,1.0,0.6789943820894726,0.985236602854639,0.23445011429199675,0.8480818959323456,1.0,0.5897253887224502,-0.30861944210500886
Fu_human,0.6375748711015934,-0.16699434844422595,0.7093206280383212,0.5897253887224502,0.28216006063499216,0.5604636040410327,-0.17309419287938144,0.6118782069389955,0.5897253887224502,1.0,0.016597520268358874
Vd_ss,-0.20945953906501816,0.7378059977153988,0.13628591803664708,-0.30861944210500886,-0.7332240099679215,-0.34949789737291126,-0.5436667512467842,-0.5050720969245488,-0.30861944210500886,0.016597520268358874,1.0
