,MW,logP,nRot,nHA,nHD,TPSA,Fsp3,nRing,nHet,Fu_human,Vd_ss
MW,0.0,0.16357946003374452,3.662552576896514e-08,4.514938209984907e-09,0.008550937952577154,4.3511736234391395e-08,0.05673716222369167,1.4704543289884797e-06,4.514938209984907e-09,0.0008042844296420916,0.3259457791507506
logP,0.16357946003374452,1.0880221377787092e-173,0.967197003342023,0.018882374694620885,1.537028719497283e-05,0.00662076206072668,0.11693127479095575,0.001387913405334236,0.018882374694620885,0.43543261522831034,3.8781425209568083e-05
nRot,3.662552576896514e-08,0.967197003342023,0.0,1.7727093977493317e-05,0.29437826924473165,9.809150690002537e-05,0.6501558045854527,0.004382731900987755,1.7727093977493317e-05,0.00010402389399020541,0.5254327796768006
nHA,4.514938209984907e-09,0.018882374694620885,1.7727093977493317e-05,0.0,0.00026419134468068915,2.337191153346303e-18,0.2701530279569499,1.667925132792875e-07,0.0,0.0024221872146893706,0.1422935294444913
nHD,0.008550937952577154,1.537028719497283e-05,0.29437826924473165,0.00026419134468068915,0.0,1.3191051069576537e-05,0.13043326564372903,7.390313482190084e-05,0.00026419134468068915,0.1816024913229261,4.582674155036394e-05
TPSA,4.3511736234391084e-08,0.00662076206072668,9.809150690002537e-05,2.3371911533464856e-18,1.3191051069576537e-05,1.0880221377787092e-173,0.30751052040353555,3.747944648732486e-07,2.3371911533464856e-18,0.004390753991455163,0.09412079799028893
Fsp3,0.05673716222369167,0.11693127479095569,0.6501558045854527,0.2701530279569498,0.1304332656437291,0.30751052040353555,0.0,0.04481835277635077,0.2701530279569498,0.41860190381162177,0.006034007645288621
nRing,1.4704543289884797e-06,0.001387913405334236,0.004382731900987755,1.667925132792875e-07,7.390313482190097e-05,3.747944648732486e-07,0.04481835277635081,0.0,1.667925132792875e-07,0.0014858124008429979,0.011823696188614757
nHet,4.514938209984907e-09,0.018882374694620885,1.7727093977493317e-05,0.0,0.00026419134468068915,2.337191153346303e-18,0.2701530279569499,1.667925132792875e-07,0.0,0.0024221872146893706,0.1422935294444913
Fu_human,0.0008042844296420916,0.43543261522831034,0.00010402389399020541,0.0024221872146893706,0.1816024913229261,0.004390753991455163,0.41860190381162177,0.0014858124008430007,0.0024221872146893706,0.0,0.9386432342420791
Vd_ss,0.3259457791507505,3.8781425209568083e-05,0.5254327796768006,0.1422935294444913,4.5826741550363674e-05,0.09412079799028893,0.006034007645288621,0.011823696188614757,0.1422935294444913,0.9386432342420791,0.0
