CYP 3A4 Substrate,CYP 2C19 substrate,LogP,nRot,nHet,nHA,nHD,MW
0.964,0.518,3.32,4,7,7,2,496.25
0.956,0.509,1.28,0,6,6,2,364.19
0.711,0.505,2.23,0,5,5,2,364.22
0.763,0.453,1.09,0,6,6,3,364.19
0.943,0.451,2.0,4,9,9,3,478.22
0.908,0.388,-0.45,3,12,12,7,542.24
0.881,0.379,-1.07,3,13,13,8,558.23
0.89,0.369,-0.75,3,12,12,7,542.24
0.936,0.53,1.28,0,6,6,2,364.19
0.648,0.397,0.6,0,7,7,4,380.18
0.84,0.447,0.45,0,7,7,3,378.17
0.897,0.485,1.17,0,6,6,3,366.2
0.885,0.388,1.06,4,10,10,4,494.22
0.614,0.424,-0.18,0,8,8,5,396.18
0.799,0.412,-0.2,0,8,8,4,394.16
0.73,0.369,0.43,2,9,9,3,450.19
0.963,0.419,1.58,6,10,10,4,536.26
0.283,0.301,0.04,1,8,8,3,394.16
0.792,0.366,0.3,2,9,9,3,436.17
0.663,0.351,0.46,2,9,9,4,438.19
0.566,0.352,0.18,2,9,9,4,438.19
0.776,0.445,-0.12,0,8,8,4,394.16
0.799,0.413,-0.21,0,8,8,4,394.16
0.371,0.439,-0.2,0,8,8,5,396.18
