,MW,LogP,TPSA,Fsp3,nHA,nHD,nRot,nRing,nHet,CYP 3A4 Substrate,CYP 2C19 substrate
MW,0.0,0.11573144136174877,6.164688505736518e-09,0.755514228046439,1.895488538358826e-09,0.0028847879863588685,2.345043038354458e-08,3.6224057527263636e-07,1.895488538358826e-09,0.30459631345475,0.009552182602994999
LogP,0.11573144136174877,0.0,0.006777809446169131,0.5535377776838597,0.00933010062778287,4.5127824501787094e-06,0.7123596258748275,0.0001860682379000989,0.00933010062778287,0.07548589394502622,0.0023818529990216357
TPSA,6.164688505736608e-09,0.006777809446169131,1.0880221377787092e-173,0.9438301185020876,3.9409563925858185e-19,1.1971632612271725e-05,9.809150690002537e-05,3.747944648732486e-07,3.9409563925858185e-19,0.9467739338394651,9.58203506868698e-05
Fsp3,0.755514228046439,0.5535377776838597,0.9438301185020876,1.0880221377787092e-173,0.8059196322401218,0.1352243576322686,0.36878159382841746,0.8787473161661199,0.8059196322401218,0.9062289056331092,0.5041894333873513
nHA,1.895488538358826e-09,0.00933010062778287,3.940956392586212e-19,0.8059196322401218,0.0,0.00014259893000920817,1.898312746276483e-05,1.8951303674895676e-07,0.0,0.7272744774966308,7.974660572713316e-05
nHD,0.0028847879863588685,4.5127824501787094e-06,1.1971632612271725e-05,0.1352243576322685,0.00014259893000920817,0.0,0.3377185648334555,1.3047502526957693e-05,0.00014259893000920817,0.28165666979251314,0.006308824617113825
nRot,2.345043038354458e-08,0.7123596258748275,9.809150690002537e-05,0.3687815938284176,1.898312746276483e-05,0.3377185648334555,0.0,0.004382731900987755,1.898312746276483e-05,0.044004287550510696,0.06785957316519454
nRing,3.6224057527263636e-07,0.0001860682379000989,3.747944648732486e-07,0.8787473161661199,1.8951303674895885e-07,1.3047502526957693e-05,0.004382731900987755,0.0,1.8951303674895885e-07,0.9478795439762644,0.0007436937763726281
nHet,1.895488538358826e-09,0.00933010062778287,3.940956392586212e-19,0.8059196322401218,0.0,0.00014259893000920817,1.898312746276483e-05,1.8951303674895676e-07,0.0,0.7272744774966308,7.974660572713316e-05
CYP 3A4 Substrate,0.30459631345475,0.07548589394502622,0.9467739338394651,0.9062289056331092,0.7272744774966308,0.28165666979251314,0.044004287550510696,0.9478795439762644,0.7272744774966308,0.0,0.01835600426769004
CYP 2C19 substrate,0.009552182602994999,0.0023818529990216357,9.58203506868698e-05,0.5041894333873513,7.974660572713316e-05,0.006308824617113825,0.06785957316519454,0.0007436937763726281,7.974660572713316e-05,0.01835600426769004,0.0
