,MW,logP,nRot,nHA,nHD,TPSA,Fsp3,nRing,nHet,CYP 3A4 Substrate,CYP 2C19 substrate
MW,0.0,0.16357946003374452,3.662552576896514e-08,4.514938209984907e-09,0.008550937952577154,4.3511736234391395e-08,0.05673716222369167,1.4704543289884797e-06,4.514938209984907e-09,0.1603024927914908,0.20842515613955637
logP,0.16357946003374452,1.0880221377787092e-173,0.967197003342023,0.018882374694620885,1.537028719497283e-05,0.00662076206072668,0.11693127479095575,0.001387913405334236,0.018882374694620885,0.12583448545473883,0.692169031649988
nRot,3.662552576896514e-08,0.967197003342023,0.0,1.7727093977493317e-05,0.29437826924473165,9.809150690002537e-05,0.6501558045854527,0.004382731900987755,1.7727093977493317e-05,0.9982326556902845,0.9430564723267933
nHA,4.514938209984907e-09,0.018882374694620885,1.7727093977493317e-05,0.0,0.00026419134468068915,2.337191153346303e-18,0.2701530279569499,1.667925132792875e-07,0.0,0.3714554885860555,0.991810860360887
nHD,0.008550937952577154,1.537028719497283e-05,0.29437826924473165,0.00026419134468068915,0.0,1.3191051069576537e-05,0.13043326564372903,7.390313482190084e-05,0.00026419134468068915,0.10798971180093218,0.8714352114669819
TPSA,4.3511736234391084e-08,0.00662076206072668,9.809150690002537e-05,2.3371911533464856e-18,1.3191051069576537e-05,1.0880221377787092e-173,0.30751052040353555,3.747944648732486e-07,2.3371911533464856e-18,0.390894416971016,0.8937909531403785
Fsp3,0.05673716222369167,0.11693127479095569,0.6501558045854527,0.2701530279569498,0.1304332656437291,0.30751052040353555,0.0,0.04481835277635077,0.2701530279569498,1.62840949730722e-06,3.5651162271842456e-07
nRing,1.4704543289884797e-06,0.001387913405334236,0.004382731900987755,1.667925132792875e-07,7.390313482190097e-05,3.747944648732486e-07,0.04481835277635081,0.0,1.667925132792875e-07,0.0441727828227692,0.2004322839714528
nHet,4.514938209984907e-09,0.018882374694620885,1.7727093977493317e-05,0.0,0.00026419134468068915,2.337191153346303e-18,0.2701530279569499,1.667925132792875e-07,0.0,0.3714554885860555,0.991810860360887
CYP 3A4 Substrate,0.1603024927914908,0.12583448545473883,0.9982326556902845,0.3714554885860555,0.10798971180093218,0.390894416971016,1.62840949730722e-06,0.0441727828227692,0.3714554885860555,0.0,1.6331462484338066e-06
CYP 2C19 substrate,0.20842515613955637,0.692169031649988,0.9430564723267933,0.991810860360887,0.8714352114669819,0.8937909531403785,3.5651162271842456e-07,0.2004322839714528,0.991810860360887,1.6331462484338212e-06,1.0880221377787092e-173
